Minggu ke,Beras,Bawang Merah,Bawang Putih,Cabai Merah,Cabai Rawit,Daging Sapi,Telur Ayam,Daging Ayam,Minyak Goreng,Gula Pasir,Tahun
192,14050.0,25980.0,38770.0,48380.0,40480.0,141650.0,27260.0,39180.0,18550.0,14950.0,2023.0
193,14110.0,25930.0,38320.0,36600.0,36070.0,141650.0,27230.0,39380.0,18350.0,14950.0,2023.0
194,14350.0,24960.0,37750.0,35150.0,34770.0,141650.0,27160.0,38040.0,18350.0,15500.0,2023.0
195,14350.0,24490.0,37600.0,37010.0,36330.0,141650.0,26800.0,37250.0,18350.0,15580.0,2023.0
196,14350.0,24070.0,37630.0,42390.0,38790.0,141650.0,25910.0,38350.0,18350.0,15900.0,2023.0
197,14470.0,24150.0,37650.0,43690.0,45340.0,141650.0,25810.0,38870.0,18350.0,15920.0,2023.0
198,14650.0,23110.0,37180.0,42170.0,49450.0,141650.0,25970.0,39560.0,18350.0,16000.0,2023.0
199,14650.0,22390.0,36940.0,44680.0,59270.0,141650.0,26060.0,37600.0,18350.0,16000.0,2023.0
200,14650.0,22330.0,36910.0,49800.0,75110.0,141650.0,25850.0,37660.0,18350.0,16380.0,2023.0
201,14650.0,26070.0,36570.0,70080.0,87290.0,141650.0,25900.0,37520.0,18350.0,16350.0,2023.0
202,14650.0,30780.0,36470.0,78300.0,88640.0,141650.0,28200.0,37980.0,18350.0,16760.0,2023.0
203,14650.0,33890.0,35520.0,78930.0,89170.0,141650.0,28150.0,38300.0,18350.0,17200.0,2023.0
204,14650.0,34680.0,35750.0,91630.0,102660.0,141650.0,27550.0,37360.0,18350.0,17500.0,2023.0
205,14650.0,34150.0,35750.0,86060.0,99290.0,141650.0,27970.0,36150.0,18350.0,17500.0,2023.0
206,14650.0,35090.0,35920.0,98290.0,101960.0,141650.0,28110.0,38190.0,18350.0,17500.0,2023.0
207,14650.0,33770.0,36760.0,86520.0,100750.0,141650.0,27350.0,37570.0,18350.0,17500.0,2023.0
208,14650.0,39080.0,38890.0,63400.0,91680.0,137650.0,27350.0,37100.0,18350.0,17500.0,2023.0
209,14650.0,44100.0,39833.333333333336,62083.333333333336,88850.0,136650.0,26783.333333333332,37666.666666666664,18350.0,17500.0,2023.0
210,14650.0,43520.0,40140.0,75260.0,87550.0,136650.0,26340.0,37380.0,18350.0,17500.0,2024.0
211,14650.0,35320.0,41130.0,70830.0,59200.0,136650.0,25750.0,36030.0,18350.0,17500.0,2024.0
